id,title
393,La fiole enchantée
394,Fruits de saison
395,La gavotte
396,La gigue
397,Jack and the Beanstalk
398,Le lion savant
399,Le marchand de ballons
400,Mother Goose Nursery Rhymes
401,Le pommier
402,Pour secouer la salade
403,La première gamelle
404,The Prince of Darkness
405,Procesión de las hijas de María de la parroquia de Sans
406,Quadrille réaliste
407,Midwife to the Upper Classes
408,Demolishing and Building Up the Star Theatre
409,Trompé mais content
410,The Troublesome Fly
411,The Devil's Money Bags
412,Uncle Josh at the Moving Picture Show
413,A Peculiar Cabinet
414,Alcohol and Its Victims
415,A Trip to the Moon
416,The Wild Man of Borneo
417,L'équilibriste
418,Alice in Wonderland
419,Les apaches pas veinards
420,Les aventures d'un voyageur trop pressé
421,The Enchanted Box
422,Les braconniers
423,Buffalo Bill's Parade
424,Buffalo Bill's Street Parade
425,Cake-walk de la pendule
426,Carreras de bicicletas en el parque
427,La chasse au cambrioleur
428,A Chess Dispute
429,Comme on fait son lit on se couche
430,How Monsieur Takes His Bath
431,Compagnons de voyage encombrants
432,Dorothy's Dream
433,Enlèvement en automobile et mariage précipité
434,An Extraordinary Cab Accident
435,Faust and Mephistopheles
436,Le fiancé ensorcelé
437,The Great Train Robbery
438,La guirlande merveilleuse
439,Gulliver en el país de los gigantes
440,Capital Execution
441,Hiawatha
442,Illusionniste renversant
443,Jocko musicien
444,Kit Carson
445,Life of an American Fireman
446,Le liqueur du couvent
447,Lutteurs américains
448,La main du professeur Hamilton ou le roi des dollars
449,Mary Jane's Mishap
450,The Messenger Boy's Mistake
451,Modelage express
452,La mouche
453,The Music Lover
454,N.Y. Fire Department Returning
455,Ne bougeons plus
456,Nos bons étudiants
457,"Panorama of Riker's Island, N.Y."
458,The Pioneers
459,Potage indigeste
460,La poule fantaisiste
461,Puerto de Barcelona
462,Rip Van Winkle
463,The Kingdom of the Fairies
464,Répétition dans un cirque
465,Secours aux naufragés
466,Service précipité
467,The Sick Kitten
468,Les surprises de l'affichage
469,Uncle Tom's Cabin
470,Uncle Tom's Cabin
471,La valise enchantée
472,Le voleur sacrilège
473,Voyage of the 'Arctic'
474,Après la fête
475,L'assassinat du courrier de Lyon
476,Behind the Scenes
477,Rum vs. Cherries
478,Le coffre enchanté
479,A Collier's Life
480,Comment on disperse les foules
481,Les deux rivaux
482,Les enfants du miracle
483,La gavotte de la reine
484,A Gentleman of France
485,The Great Train Robbery
486,The Land Beyond the Sunset
487,La leçon de pipeau
488,L'oiseau envolé
489,Opening the Williamsburg Bridge
490,Personal
491,"Pierrot, Murderer"
492,Le pompon malencontreux
493,The Pearl Fisher
494,Railroad Smashup
495,A Railway Tragedy
496,Rescued by Rover
497,An Impossible Voyage
498,The Abductors
499,Adventures of Sherlock Holmes
500,Bohemios
501,"Corrida de beneficencia en Zaragoza, por Quinito y Montes"
502,Coso y Paseo de Santa Engracia (Calles y plazas de Zaragoza)
503,The Wig Chase
504,The Effects of Too Much Scotch
505,Departure of Peary and the Roosevelt from New York
506,Desde el coso a la calle Cerdán (Calles y plazas de Zaragoza)
507,The Inexperienced Chauffeur
508,El dúo de la Africana
509,Esmeralda
510,Funeral of Hiram Cronk
511,Gigantes y cabezudos
512,Los guapos de la Vaquería del Parque
513,Los guapos del parque
514,The Electric Hotel
515,El húsar de la guardia
516,Juanito el forzudo
517,The Kleptomaniac
518,The Life of Charles Peace
519,The Little Train Robbery
520,The Moonshiners
521,Moose Hunting in Newfoundland
522,New York Subway
523,Hanging at Jefferson City
524,Pennsylvania Tunnel Excavation
525,Plaza de la Magdalena (Calles y plazas de Zaragoza)
526,"Raffles, the Amateur Cracksman"
527,Reuben in the Opium Joint
528,Se da de comer
529,Los sitios de Chile
530,Torrero y la ribera (Calles y plazas de Zaragoza)
531,The Wooing and Wedding of a Coon
532,The '?' Motorist
533,The Anarchist's Mother-in-Law
534,Apachentanz
535,"Arrival of Immigrants, Ellis Island"
536,"Bilbao, Portugalete y los Altos Hornos"
537,Bonden i København
538,Branden i Frihavnen
539,Caros død
540,Cerveza gratis
541,Kong Christian d. IXs Bisættelse
542,The Dancer's Dream
543,Dream of a Racetrack Fiend
544,Dream of a Rarebit Fiend
545,Ferias en San Sebastián y Cabalgata en la Ría
546,Fiskerliv i Norden
547,En foræring til min Kone
548,Proklamationen af Kong Frederik d. VIII
549,Fæstningskrigen
550,The Hand of the Artist
551,The Haunted Hotel
552,Humorous Phases of Funny Faces
553,Den hvide slavinde
554,Hævnet
555,Kathleen Mavourneen
556,Los kikos
557,Konfirmanden
558,Ladrones burlados
559,The Life of a Cowboy
560,Os Lusíadas
561,Mellem Aber og Bjørne
562,A Modern Oliver Twist
563,The Night Before Christmas
564,Professorens Morgenavis
565,The 400 Tricks of the Devil
566,Rosenborg Have
567,Røverhøvdingens Flugt og Død
568,San Francisco Disaster
569,The San Francisco Earthquake
570,Secreto de confesión
571,Den sorte maske
572,The Story of the Kelly Gang
573,"20,000 Leagues Under the Sea"
574,Ali Baba and the Forty Thieves
575,"Angelo, Tyrant of Padua"
576,"An Awful Skate; or, the Hobo on Rollers"
577,The Bandit Makes Good
578,A Batalha das Flores no Campo Grande
579,Bauernhaus und Grafenschloß
580,Ben Hur
581,The Lady with the Camellias
582,El ciego de la aldea
583,Concurso de sardanas en el parque Guell
584,A Curious Dream
585,La dea del mare
586,Der var engang
587,Descoberta da América por Cristovão Colombo
588,Dr. Skinum
589,The Prodigal Son
590,Eureka Stockade
591,Fiestas de San Antonio
592,The Flight from the Seraglio
593,From the Rococo Times
594,Fyrtøjet
595,The Magic Mirror
596,"Hamlet, Prince of Denmark"
597,Polar Bear Hunt
598,Lohengrin
599,Lion Hunting
600,The Magic Fountain Pen
601,A Misalliance
602,Mordet paa Fyn
603,Mr. Gay and Mrs.
604,La muerte del tirano
605,En ny hat til Madammen
606,Othello
607,Othello
608,In the Sultan's Power
609,Procesión marítima en Santa Cristina
610,O Rapto de Uma Actriz
611,The Red Spectre
612,Robbery Under Arms
613,Romería a San Medín
614,The Robber's Sweetheart
615,Salaviinanpolttajat
616,Stalking and Shooting Caribou in Newfoundland
617,The Will
618,That Fatal Sneeze
619,Tierra baja
620,The Magic Bag
621,The Ugly Duckling
622,Villafranca: Fiestas del Drac y bailes típicos
623,Yale Laundry
624,'Ostler Joe
625,The Adventures of Dollie
626,After Many Years
627,Hamlet
628,Hamlet
629,Amor que mata
630,The Anarchist's Sweetheart
631,Antony and Cleopatra
632,As You Like It
633,The Assassination of the Duke de Guise
634,At the Crossroads of Life
635,At the French Ball
636,An Awful Moment
637,Balked at the Altar
638,The Bandit's Waterloo
639,Barbara Fritchie: The Story of a Patriotic American Woman
640,Behind the Scenes
641,Betrayed by a Handprint
642,Biblical Scenes
643,Bjørnejagten
644,The Black Viper
645,Bobby's Kodak
646,The Boston Tea Party
647,"The Boy Detective, or the Abductors Foiled"
648,A Calamitous Elopement
649,The Call of the Wild
650,Los calzoncillos de Tony
651,The Grateful Dog
652,Carreras de caballos de 1908
653,The Puppet's Nightmare
654,Caught by Wireless
655,The Christmas Burglars
656,Humanity Through the Ages
657,Classmates
658,The Clubman and the Tramp
659,Los competidores
660,Concealing a Burglar
661,Corrida de toros con Antonio Fuentes
662,Corrida de toros con Ricardo Torres 'Bombita'
663,The Count of Monte Cristo
664,Cupid's Pranks
665,El curioso impertinente
666,Desdemona
667,The Devil
668,La Dolores
669,Don Juan Tenorio
670,Don Quijote
671,Don Álvaro o la fuerza del sino
672,Ex-Convict No. 900
673,Excursión a Montserrat
674,The Fairylogue and Radio-Plays
675,Falsely Accused!
676,A Famous Escape
677,A Fantasy
678,The Fatal Hour
679,Father Gets in the Game
680,The Feud and the Turkey
681,Fiestas del carnaval de 1908 en Barcelona
682,"A Florida Feud: or, Love in the Everglades"
683,The Flower Girl of Paris
684,For Love of Gold
685,For a Wife's Honor
686,The French Maid
687,El fusilamiento de Dorrego
688,Gerona monumental
689,The Girl and the Outlaw
690,The Greaser's Gauntlet
691,El guardia burlado
692,The Guerrilla
693,The Heart of O Yama
694,The Helping Hand
695,Her First Adventure
696,His Day of Rest
697,Hulda's Lovers
698,The Humpty Dumpty Circus
699,Inauguración de la exposición hispano-francesa
700,"Ingomar, the Barbarian"
701,The Ingrate
702,The Invisible Fluid
703,Julius Caesar
704,The Kentuckian
705,King of the Cannibal Islands
706,The King's Messenger
707,Leah the Forsaken
708,The Life of an American Cowboy
709,Lonesome Junction
710,Macbeth
711,Making Moving Pictures
712,"Mallorca, isla dorada"
713,The Man and the Woman
714,The Man in the Box
715,The Red Barn Mystery
716,María Rosa
717,The Merchant of Venice
718,Mixed Babies
719,Monasterio de Poblet
720,Monday Morning in a Coney Island Police Court
721,Money Mad
722,Os Moços de Fretes Têm Sede
723,Mr. Jones at the Ball
724,Mrs. Jones Entertains
725,The Music Master
726,"Old Isaacs, the Pawnbroker"
727,Othello
728,The Outlaw
729,Over the Hill to the Poorhouse
730,The Paris Hat
731,El pastorcito de Torrente
732,The Pirate's Gold
733,The Planter's Wife
734,Poverty and Compassion
735,The Princess in the Vase
736,Professional Jealousy
737,"Raffles, an American Cracksman"
738,The Reckoning
739,The Reg Girl
740,The Red Man and the Child
741,Rescued from an Eagle's Nest
742,Richard III
743,The Roman
744,Romance of a Jewess
745,The Romance of an Egg
746,Romeo and Juliet
747,The Dream of an Opium Fiend
748,The Sculptor's Nightmare
749,She
750,Sherlock Holmes
751,Sherlock Holmes II: Raffles Escaped from Prison
752,Sherlock Holmes III: The Detective's Adventure in the Gas Cellar
753,"Simulacro de bomberos en la Plaza de Cataluña, de Barcelona"
754,A Smoked Husband
755,The Snowman
756,The Song of the Shirt
757,The Stage Rustler
758,The Stage-Struck Daughter
759,The Stolen Jewels
760,Svend Dyrings hus
761,Knight of Black Art
762,The Taming of the Shrew
763,The Tavern Keeper's Daughter
764,The Test of Friendship
765,Thompson's Night Out
766,To the Custody of the Father
767,Susceptible Youth
768,The Last Days of Pompeii
769,An Unexpected Santa Claus
770,The Valet's Wife
771,The Vaquero's Vow
772,"Hercules the Athlete; or, Love Behind the Scenes"
773,The Viking's Daughter: The Story of the Ancient Norsemen
774,"A Visit to the Seaside at Brighton Beach, England"
775,When Knighthood Was in Flower
776,When Knights Were Bold
777,Where the Breakers Roar
778,Wiegenlied
779,A Woman's Way
780,The Yellow Peril
781,The Zulu's Heart
782,The Battle in the Clouds
783,Amor heroico
784,And a Little Child Shall Lead Them
785,Andreas Hofer
786,The Apache Girl's Revenge
787,The Artist's Revenge
788,As It Is in Real Life
789,At the Altar
790,An Attempt to Smash a Bank
791,Aventuras de Pepín
792,The Awakening
793,A Baby's Shoe
794,The Bailiff and the Dressmakers
795,The Child Benefactor
796,El barranco del lobo
797,Baño imprevisto
798,The Best Man Wins
799,The Better Way
800,Betty's Choice
801,Bill Sharkey's Last Game
802,The Black Sheep
803,The Blind Man
804,El blocao Velarde
805,Bluebeard
806,La bocana de Mar Chica
807,The Brahma Diamond
808,The Broken Locket
809,A Message to Napoleon
810,The Burglar and the Child
811,A Burglar's Mistake
812,Campaña del Riff
813,The Cardinal's Conspiracy
814,Celos gitanos
815,A Change of Heart
816,A Child of the Forest
817,The Children's Friend
818,Choosing a Husband
819,"Comata, the Sioux"
820,Confidence
821,A Convict's Sacrifice
822,Corazón de madre
823,The Cord of Life
824,A Corner in Wheat
825,The Country Doctor
826,A Coward's Courage
827,The Cricket on the Hearth
828,Os Crimes de Diogo Alves
829,The Criminal Hypnotist
830,A Cultura do Cacau
831,The Curse of Money
832,The Curtain Pole
833,The Day After
834,De Garraf a Barcelona
835,The Death Disc: A Story of the Cromwellian Period
836,The Death of Ivan the Terrible
837,The Deception
838,Un día en Xochimilco
839,Don Juan heiratet
840,The Painting of a Miraculous Spider
841,Dos guapos frente a frente
842,Los dos hermanos
843,The Drive for a Life
844,A Drunkard's Reformation
845,The Eavesdropper
846,Edgar Allan Poe
847,Eloping with Auntie
848,Entrevista de los Presidentes Díaz-Taft
849,Eradicating Aunty
