id,rating,votes
574,5.6,245
575,6.8,11
576,3.5,12
577,4.5,39
578,5.0,54
579,7.0,34
580,5.6,67
581,5.6,103
582,6.3,44
583,5.4,225
584,3.2,24
585,5.3,76
586,5.6,28
587,4.5,25
588,5.1,26
589,5.1,18
590,5.4,22
591,5.2,124
592,5.4,25
593,6.2,25
594,6.3,33
595,5.2,28
596,3.3,27
597,4.3,74
598,6.0,70
599,5.2,22
600,4.2,25
601,5.0,25
602,5.4,27
603,4.9,127
604,6.0,203
605,5.3,105
606,5.3,48
607,4.6,14
608,3.2,10
609,5.1,97
610,4.3,22
611,5.8,119
612,6.2,133
613,4.6,203
614,5.3,21
615,4.6,29
616,6.2,1154
617,5.2,15
618,3.8,11
619,4.9,93
620,4.6,92
621,4.6,17
622,5.0,18
623,5.6,17
624,6.2,52
625,5.8,18
626,4.7,315
627,8.2,23
628,5.2,16
629,5.1,18
630,5.6,382
631,5.2,19
632,6.6,25
633,5.7,85
634,6.2,193
635,5.8,114
636,5.2,71
637,4.9,24
638,3.9,20
639,5.2,37
640,5.6,69
641,4.4,16
642,5.1,126
643,7.8,10
644,4.7,27
645,4.8,58
646,5.8,99
647,6.6,18
648,4.4,15
649,6.9,19
650,6.3,18
651,5.5,19
652,5.4,65
653,5.1,149
654,4.8,110
655,5.4,26
656,5.5,33
657,6.5,1068
658,4.2,16
659,4.4,17
660,5.8,434
661,4.7,131
662,5.0,27
663,5.1,168
664,5.0,15
665,5.8,15
666,7.6,18
667,5.9,18
668,3.8,23
669,5.1,60
670,6.0,997
671,4.8,23
672,5.1,44
673,2.6,13
674,3.4,18
675,3.1,22
676,5.2,52
677,5.1,123
678,5.6,15
679,4.2,19
680,4.9,91
681,5.5,18
682,6.0,17
683,5.5,42
684,5.2,28
685,5.4,16
686,6.5,86
687,6.2,1325
688,5.7,18
689,5.1,48
690,5.0,18
691,4.9,24
692,5.7,68
693,6.4,16
694,5.6,432
695,5.9,22
696,4.4,17
697,5.2,26
698,5.7,16
699,5.3,68
